Frequecy,Amp
453500000,-66.43345933
454500000,-66.38892956
455500000,-66.35162386
456500000,-66.63687126
457500000,-66.77205787
458500000,-66.61453286
459500000,-66.34895933
460500000,-65.82445446
461500000,-66.21929465
462500000,-66.22383792
463500000,-66.37923659
464500000,-66.46035924
465500000,-66.18713874
466500000,-66.27567731
467500000,-65.61776721
468500000,-62.13473103
469500000,-63.54678814
470500000,-66.43358058
471500000,-66.39709551
472500000,-66.16768567
473500000,-66.45057462
474500000,-66.41264134
475500000,-66.48554369
476500000,-66.41846584
477500000,-66.35960349
478500000,-66.2987073
479500000,-65.59650432
480500000,-66.09990093
481500000,-66.8123928
482500000,-66.89652792
483500000,-66.79632552
484500000,-66.84395497
485500000,-66.54999387
486500000,-66.73246066
487500000,-66.65193993
488500000,-66.80590181
489500000,-66.55682718
490500000,-66.72453449
491500000,-66.98478416
492500000,-67.09514749
493500000,-66.88559571
494500000,-66.75372769
495500000,-66.90911349
496500000,-66.84653221
497500000,-66.76846616
498500000,-66.71459759
499500000,-65.8783285
500500000,-65.8848592
501500000,-66.63266947
502500000,-67.00204318
503500000,-67.32748287
504500000,-67.12788255
505500000,-67.24449609
506500000,-67.29073654
507500000,-67.41685831
508500000,-67.49616423
509500000,-67.19145469
510500000,-67.10711006
511500000,-67.23814488
512500000,-67.19132964
513500000,-66.85249417
514500000,-66.93621795
515500000,-67.05710755
516500000,-67.44112856
517500000,-67.3611273
518500000,-67.34154034
519500000,-67.14736821
520500000,-65.61648255
521500000,-65.78993789
522500000,-65.95368103
523500000,-66.17234618
524500000,-66.07090058
525500000,-65.97256272
526500000,-65.94157576
527500000,-65.99227203
528500000,-66.13684393
529500000,-65.47300033
530500000,-60.07234234
531500000,-57.75598328
532500000,-63.07965441
533500000,-64.53984036
534500000,-64.73871602
535500000,-65.20205198
536500000,-65.28186453
537500000,-65.43842128
538500000,-65.21280474
539500000,-64.89496012
540500000,-66.4614184
541500000,-66.61931312
542500000,-67.04845488
543500000,-67.18570902
544500000,-66.90212589
545500000,-67.11075245
546500000,-67.05006288
547500000,-67.13248396
548500000,-67.32272606
549500000,-67.04680746
550500000,-67.16162389
551500000,-67.20509071
552500000,-67.19500695
553500000,-67.02205686
554500000,-66.95938079
555500000,-67.17423231
556500000,-67.34587038
557500000,-67.16526733
558500000,-67.01426728
559500000,-66.7062273
560500000,-66.36924035
561500000,-66.80377765
562500000,-66.59179524
563500000,-66.82127282
564500000,-66.92374256
565500000,-66.93280782
566500000,-66.86141807
567500000,-66.97329951
568500000,-66.81736502
569500000,-66.67015428
570500000,-66.69606062
571500000,-66.68070824
572500000,-66.20526522
573500000,-66.12755071
574500000,-66.19682753
575500000,-66.37682322
576500000,-66.42996707
577500000,-66.66327372
578500000,-66.72468167
579500000,-66.93741464
580500000,-66.34312439
581500000,-66.41701026
582500000,-66.60501931
583500000,-66.52601629
584500000,-66.13582512
585500000,-65.91015027
586500000,-65.9478833
587500000,-65.85176063
588500000,-66.05303577
589500000,-66.12811884
